depth,ioi_vanilla,ioi_ig,greater-than_vanilla,greater-than_ig,gender-bias_vanilla,gender-bias_ig,sva_vanilla,sva_ig,fact-retrieval-comma_vanilla,fact-retrieval-comma_ig,hypernymy-comma_vanilla,hypernymy-comma_ig
12,0.6357023119926453,0.8058140277862549,0.848343551158905,0.8893788456916809,0.7405362725257874,0.860807478427887,0.7413991093635559,0.8735058903694153,0.6949345469474792,0.9103745818138123,0.7185456156730652,0.8689092993736267
13,0.6400565505027771,0.8089171051979065,0.848175048828125,0.8860538005828857,0.748660683631897,0.8537630438804626,0.7553743124008179,0.8654846549034119,0.7065667510032654,0.8995173573493958,0.7283615469932556,0.8671588897705078
14,0.6504606604576111,0.8123617768287659,0.85391765832901,0.8839887976646423,0.7564094662666321,0.8438004851341248,0.7677454948425293,0.859786868095398,0.7173221707344055,0.8913885354995728,0.7324581742286682,0.8664434552192688
15,0.6559855341911316,0.8115376830101013,0.8547676205635071,0.8828340172767639,0.7593154907226562,0.8364359736442566,0.7787846922874451,0.855800986289978,0.7228339910507202,0.8808515667915344,0.7369609475135803,0.8620139360427856
16,0.6618614196777344,0.8155041337013245,0.8560321927070618,0.8823444247245789,0.7626395225524902,0.8310337662696838,0.7887043952941895,0.853094756603241,0.728438138961792,0.8726733326911926,0.7377759218215942,0.8589193224906921
17,0.6679111123085022,0.8194364309310913,0.8575804829597473,0.8788847327232361,0.766221284866333,0.8271321058273315,0.7976733446121216,0.8513556122779846,0.7305715084075928,0.8663222789764404,0.7393600344657898,0.8568375110626221
18,0.670928418636322,0.8232948780059814,0.859319806098938,0.8763540387153625,0.7699496746063232,0.8274766206741333,0.8058273196220398,0.8503543734550476,0.73319411277771,0.8583167195320129,0.7414942979812622,0.8524453639984131
19,0.6716274619102478,0.8270549774169922,0.858413815498352,0.8773215413093567,0.7737473845481873,0.8282465934753418,0.8132768273353577,0.8471500873565674,0.7333860993385315,0.8491532206535339,0.7412495017051697,0.8463610410690308
20,0.6730461120605469,0.8282022476196289,0.8554931879043579,0.8759554624557495,0.7775600552558899,0.8293342590332031,0.8176130056381226,0.8447925448417664,0.7342168092727661,0.8416956067085266,0.741686999797821,0.8390428423881531
21,0.6727423071861267,0.8295804262161255,0.851036548614502,0.8750596642494202,0.7813497185707092,0.8283909559249878,0.8217629790306091,0.843113124370575,0.7332676649093628,0.8378960490226746,0.7426497936248779,0.8308345079421997
22,0.6731548309326172,0.8311283588409424,0.8474770188331604,0.8724743127822876,0.7830238938331604,0.8279268145561218,0.8236663341522217,0.8419799208641052,0.7309291362762451,0.8328676819801331,0.7440168857574463,0.8219948410987854
23,0.6741329431533813,0.8327995538711548,0.842766284942627,0.8685671091079712,0.784896194934845,0.825956404209137,0.8256619572639465,0.8412889242172241,0.731285572052002,0.8269017934799194,0.7456947565078735,0.8146113753318787
24,0.6755580306053162,0.832821786403656,0.8371649384498596,0.8653628826141357,0.7869144082069397,0.8245276808738708,0.8294537663459778,0.8409574031829834,0.733801543712616,0.8219614624977112,0.747610330581665,0.806710958480835
25,0.6773356795310974,0.8315088748931885,0.8324783444404602,0.8627483248710632,0.7890378832817078,0.8235465288162231,0.8330756425857544,0.8393191695213318,0.7348494529724121,0.8162830471992493,0.7497059106826782,0.8000425100326538
26,0.6779115200042725,0.8305928707122803,0.830045759677887,0.8606308698654175,0.7912346124649048,0.82145756483078,0.83653724193573,0.83662348985672,0.7376511096954346,0.8100354671478271,0.7519361972808838,0.7929402589797974
