depth,ioi_real_EAP,ioi_real_EAP-IG,ioi_EAP_EAP-IG,greater-than_real_EAP,greater-than_real_EAP-IG,greater-than_EAP_EAP-IG,gender-bias_real_EAP,gender-bias_real_EAP-IG,gender-bias_EAP_EAP-IG,sva_real_EAP,sva_real_EAP-IG,sva_EAP_EAP-IG,fact-retrieval-comma_real_EAP,fact-retrieval-comma_real_EAP-IG,fact-retrieval-comma_EAP_EAP-IG,hypernymy-comma_real_EAP,hypernymy-comma_real_EAP-IG,hypernymy-comma_EAP_EAP-IG
582,0.8615384615384616,0.8142857142857143,0.75,0.9294117647058824,0.7446808510638298,0.8043478260869565,0.9538461538461539,0.855072463768116,0.8405797101449275,0.94,0.7301587301587301,0.7142857142857143,0.7894736842105263,0.6951219512195121,0.7875,0.8933333333333333,0.8641975308641975,0.8395061728395061
583,0.8615384615384616,0.8142857142857143,0.75,0.9294117647058824,0.7446808510638298,0.8043478260869565,0.9538461538461539,0.855072463768116,0.8405797101449275,0.94,0.7301587301587301,0.7142857142857143,0.7894736842105263,0.6951219512195121,0.7875,0.8933333333333333,0.8641975308641975,0.8395061728395061
584,0.8615384615384616,0.8142857142857143,0.75,0.9294117647058824,0.7446808510638298,0.8043478260869565,0.9538461538461539,0.855072463768116,0.8405797101449275,0.94,0.7301587301587301,0.7142857142857143,0.7894736842105263,0.6951219512195121,0.7875,0.8933333333333333,0.8641975308641975,0.8395061728395061
585,0.8615384615384616,0.8142857142857143,0.75,0.9294117647058824,0.7446808510638298,0.8043478260869565,0.9538461538461539,0.855072463768116,0.8405797101449275,0.94,0.7301587301587301,0.7142857142857143,0.7894736842105263,0.6951219512195121,0.7875,0.8933333333333333,0.8641975308641975,0.8395061728395061
586,0.8615384615384616,0.8142857142857143,0.75,0.9294117647058824,0.7446808510638298,0.8043478260869565,0.9538461538461539,0.8695652173913043,0.855072463768116,0.9215686274509803,0.7301587301587301,0.703125,0.7894736842105263,0.6951219512195121,0.7875,0.8933333333333333,0.8765432098765432,0.8518518518518519
587,0.8615384615384616,0.8142857142857143,0.75,0.9294117647058824,0.7446808510638298,0.8043478260869565,0.9538461538461539,0.8840579710144928,0.8695652173913043,0.9215686274509803,0.7301587301587301,0.703125,0.7894736842105263,0.6951219512195121,0.7875,0.8933333333333333,0.8765432098765432,0.8518518518518519
588,0.8615384615384616,0.8142857142857143,0.75,0.9294117647058824,0.7446808510638298,0.8043478260869565,0.9538461538461539,0.8840579710144928,0.8695652173913043,0.9038461538461539,0.746031746031746,0.703125,0.7894736842105263,0.6951219512195121,0.7875,0.8933333333333333,0.8765432098765432,0.8518518518518519
589,0.8484848484848485,0.8028169014084507,0.75,0.9294117647058824,0.7553191489361702,0.8152173913043478,0.9538461538461539,0.8840579710144928,0.8695652173913043,0.9038461538461539,0.746031746031746,0.703125,0.7922077922077922,0.6987951807228916,0.7901234567901234,0.8933333333333333,0.8765432098765432,0.8518518518518519
590,0.8636363636363636,0.8028169014084507,0.7397260273972602,0.9294117647058824,0.7553191489361702,0.8152173913043478,0.9538461538461539,0.8840579710144928,0.8695652173913043,0.9038461538461539,0.746031746031746,0.703125,0.7922077922077922,0.6987951807228916,0.7901234567901234,0.8933333333333333,0.8765432098765432,0.8518518518518519
591,0.8636363636363636,0.8028169014084507,0.7397260273972602,0.9294117647058824,0.7553191489361702,0.8152173913043478,0.9538461538461539,0.8840579710144928,0.8695652173913043,0.9038461538461539,0.746031746031746,0.703125,0.7922077922077922,0.6987951807228916,0.7901234567901234,0.8933333333333333,0.8765432098765432,0.8518518518518519
592,0.8636363636363636,0.8028169014084507,0.7397260273972602,0.9294117647058824,0.7553191489361702,0.8152173913043478,0.9538461538461539,0.8840579710144928,0.8695652173913043,0.9038461538461539,0.746031746031746,0.703125,0.7922077922077922,0.6987951807228916,0.7901234567901234,0.9066666666666666,0.8765432098765432,0.8641975308641975
593,0.8636363636363636,0.8028169014084507,0.7397260273972602,0.9294117647058824,0.7553191489361702,0.8152173913043478,0.9538461538461539,0.8840579710144928,0.8695652173913043,0.9038461538461539,0.746031746031746,0.703125,0.7922077922077922,0.6987951807228916,0.7901234567901234,0.92,0.8888888888888888,0.8641975308641975
594,0.8636363636363636,0.8028169014084507,0.7397260273972602,0.9294117647058824,0.7553191489361702,0.8152173913043478,0.9692307692307692,0.8840579710144928,0.8840579710144928,0.9038461538461539,0.746031746031746,0.703125,0.8051948051948052,0.6987951807228916,0.7804878048780488,0.92,0.8888888888888888,0.8641975308641975
595,0.8636363636363636,0.8028169014084507,0.7397260273972602,0.9294117647058824,0.7553191489361702,0.8152173913043478,0.9692307692307692,0.8840579710144928,0.8840579710144928,0.9038461538461539,0.746031746031746,0.703125,0.8051948051948052,0.6987951807228916,0.7804878048780488,0.92,0.8888888888888888,0.8641975308641975
596,0.8636363636363636,0.8169014084507042,0.7534246575342466,0.9294117647058824,0.7553191489361702,0.8152173913043478,0.9692307692307692,0.8840579710144928,0.8840579710144928,0.9038461538461539,0.746031746031746,0.703125,0.8051948051948052,0.6987951807228916,0.7804878048780488,0.92,0.8888888888888888,0.8641975308641975
597,0.8636363636363636,0.8169014084507042,0.7534246575342466,0.9186046511627907,0.7659574468085106,0.8152173913043478,0.9692307692307692,0.8714285714285714,0.8714285714285714,0.9038461538461539,0.746031746031746,0.703125,0.8051948051948052,0.6987951807228916,0.7804878048780488,0.92,0.8888888888888888,0.8641975308641975
598,0.8636363636363636,0.8169014084507042,0.7534246575342466,0.9186046511627907,0.7659574468085106,0.8152173913043478,0.9692307692307692,0.8714285714285714,0.8714285714285714,0.9038461538461539,0.746031746031746,0.703125,0.8051948051948052,0.6987951807228916,0.7804878048780488,0.92,0.8888888888888888,0.8641975308641975
599,0.8636363636363636,0.8169014084507042,0.7534246575342466,0.9186046511627907,0.7659574468085106,0.8152173913043478,0.9692307692307692,0.8714285714285714,0.8714285714285714,0.9038461538461539,0.746031746031746,0.703125,0.8051948051948052,0.6904761904761905,0.7710843373493976,0.92,0.8888888888888888,0.8641975308641975
600,0.8636363636363636,0.8169014084507042,0.7534246575342466,0.9080459770114943,0.7659574468085106,0.8064516129032258,0.9692307692307692,0.8714285714285714,0.8714285714285714,0.9038461538461539,0.746031746031746,0.703125,0.8051948051948052,0.6904761904761905,0.7710843373493976,0.92,0.8888888888888888,0.8641975308641975
