edges,EAP_node_precision,EAP_node_recall,EAP_edge_precision,EAP_edge_recall,EAP-IG_node_precision,EAP-IG_node_recall,EAP-IG_edge_precision,EAP-IG_edge_recall
23,1.0,0.46153846153846156,0.8,0.05581395348837209,1.0,0.5,0.6842105263157895,0.06046511627906977
24,1.0,0.46153846153846156,0.75,0.05581395348837209,1.0,0.5,0.65,0.06046511627906977
25,1.0,0.5,0.7647058823529411,0.06046511627906977,1.0,0.5,0.6666666666666666,0.06511627906976744
26,1.0,0.5,0.7777777777777778,0.06511627906976744,1.0,0.5,0.6666666666666666,0.06511627906976744
27,1.0,0.5,0.7368421052631579,0.06511627906976744,1.0,0.5,0.6666666666666666,0.06511627906976744
28,1.0,0.5384615384615384,0.75,0.06976744186046512,1.0,0.5,0.6818181818181818,0.06976744186046512
29,1.0,0.5384615384615384,0.75,0.06976744186046512,1.0,0.5769230769230769,0.6521739130434783,0.06976744186046512
30,1.0,0.5769230769230769,0.7619047619047619,0.07441860465116279,1.0,0.6153846153846154,0.6666666666666666,0.07441860465116279
31,1.0,0.5769230769230769,0.7272727272727273,0.07441860465116279,1.0,0.6153846153846154,0.68,0.07906976744186046
32,1.0,0.5769230769230769,0.7272727272727273,0.07441860465116279,1.0,0.6153846153846154,0.6923076923076923,0.08372093023255814
33,1.0,0.5769230769230769,0.6956521739130435,0.07441860465116279,1.0,0.6153846153846154,0.6923076923076923,0.08372093023255814
34,1.0,0.5769230769230769,0.7083333333333334,0.07906976744186046,1.0,0.6153846153846154,0.7037037037037037,0.08837209302325581
35,1.0,0.5769230769230769,0.7083333333333334,0.07906976744186046,1.0,0.6538461538461539,0.6785714285714286,0.08837209302325581
36,1.0,0.5769230769230769,0.72,0.08372093023255814,1.0,0.6538461538461539,0.6551724137931034,0.08837209302325581
37,1.0,0.5769230769230769,0.6923076923076923,0.08372093023255814,1.0,0.6923076923076923,0.6666666666666666,0.09302325581395349
38,1.0,0.5769230769230769,0.6923076923076923,0.08372093023255814,1.0,0.6923076923076923,0.6774193548387096,0.09767441860465116
39,1.0,0.5769230769230769,0.6923076923076923,0.08372093023255814,1.0,0.6923076923076923,0.6774193548387096,0.09767441860465116
40,1.0,0.5769230769230769,0.7037037037037037,0.08837209302325581,1.0,0.7307692307692307,0.6875,0.10232558139534884
41,1.0,0.5769230769230769,0.7142857142857143,0.09302325581395349,1.0,0.7307692307692307,0.696969696969697,0.10697674418604651
42,1.0,0.5769230769230769,0.7241379310344828,0.09767441860465116,1.0,0.7307692307692307,0.7058823529411765,0.11162790697674418
