edges,EAP_node_precision,EAP_node_recall,EAP_edge_precision,EAP_edge_recall,EAP-IG_node_precision,EAP-IG_node_recall,EAP-IG_edge_precision,EAP-IG_edge_recall
30,0.8,0.631578947368421,0.9,0.1125,0.8888888888888888,0.8421052631578947,0.9333333333333333,0.11666666666666667
31,0.8,0.631578947368421,0.9032258064516129,0.11666666666666667,0.8888888888888888,0.8421052631578947,0.9032258064516129,0.11666666666666667
32,0.8,0.631578947368421,0.90625,0.12083333333333333,0.8888888888888888,0.8421052631578947,0.90625,0.12083333333333333
33,0.8,0.631578947368421,0.9090909090909091,0.125,0.8888888888888888,0.8421052631578947,0.9090909090909091,0.125
34,0.75,0.631578947368421,0.8823529411764706,0.125,0.8888888888888888,0.8421052631578947,0.9117647058823529,0.12916666666666668
35,0.75,0.631578947368421,0.8571428571428571,0.125,0.8947368421052632,0.8947368421052632,0.9142857142857143,0.13333333333333333
36,0.75,0.631578947368421,0.8611111111111112,0.12916666666666668,0.9,0.9473684210526315,0.9166666666666666,0.1375
37,0.7058823529411765,0.631578947368421,0.8378378378378378,0.12916666666666668,0.9,0.9473684210526315,0.918918918918919,0.14166666666666666
38,0.6666666666666666,0.631578947368421,0.8157894736842105,0.12916666666666668,0.9,0.9473684210526315,0.9210526315789473,0.14583333333333334
39,0.6842105263157895,0.6842105263157895,0.8205128205128205,0.13333333333333333,0.9,0.9473684210526315,0.9230769230769231,0.15
40,0.6842105263157895,0.6842105263157895,0.825,0.1375,0.9,0.9473684210526315,0.925,0.15416666666666667
41,0.7,0.7368421052631579,0.8292682926829268,0.14166666666666666,0.8571428571428571,0.9473684210526315,0.9024390243902439,0.15416666666666667
42,0.7,0.7368421052631579,0.8333333333333334,0.14583333333333334,0.8571428571428571,0.9473684210526315,0.9047619047619048,0.15833333333333333
43,0.6666666666666666,0.7368421052631579,0.813953488372093,0.14583333333333334,0.8571428571428571,0.9473684210526315,0.9069767441860465,0.1625
44,0.6363636363636364,0.7368421052631579,0.7954545454545454,0.14583333333333334,0.8571428571428571,0.9473684210526315,0.8863636363636364,0.1625
45,0.6521739130434783,0.7894736842105263,0.8,0.15,0.8181818181818182,0.9473684210526315,0.8666666666666667,0.1625
46,0.64,0.8421052631578947,0.782608695652174,0.15,0.8181818181818182,0.9473684210526315,0.8695652173913043,0.16666666666666666
47,0.6153846153846154,0.8421052631578947,0.7659574468085106,0.15,0.8181818181818182,0.9473684210526315,0.8723404255319149,0.17083333333333334
48,0.6296296296296297,0.8947368421052632,0.7708333333333334,0.15416666666666667,0.8181818181818182,0.9473684210526315,0.875,0.175
49,0.6296296296296297,0.8947368421052632,0.7755102040816326,0.15833333333333333,0.8181818181818182,0.9473684210526315,0.8775510204081632,0.17916666666666667
50,0.6296296296296297,0.8947368421052632,0.78,0.1625,0.8181818181818182,0.9473684210526315,0.88,0.18333333333333332
51,0.6296296296296297,0.8947368421052632,0.7843137254901961,0.16666666666666666,0.8181818181818182,0.9473684210526315,0.8823529411764706,0.1875
52,0.6296296296296297,0.8947368421052632,0.7884615384615384,0.17083333333333334,0.782608695652174,0.9473684210526315,0.8653846153846154,0.1875
53,0.6071428571428571,0.8947368421052632,0.7735849056603774,0.17083333333333334,0.782608695652174,0.9473684210526315,0.8679245283018868,0.19166666666666668
54,0.6071428571428571,0.8947368421052632,0.7777777777777778,0.175,0.782608695652174,0.9473684210526315,0.8518518518518519,0.19166666666666668
